date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:18	84654/84654	---MCZ	200	added ('OK')	text/html	etag:W/%22696d9543-14aae%22	https://soullight.vip/tests/rskx/	C:/Users/WYL21/Desktop/freefile/soul/soul/soullight.vip/tests/rskx/index.html	(from )
22:11:21	93800/93800	---MCZ	200	added ('OK')	text/html	etag:W/%22696de13b-16e68%22	https://soullight.vip/tests/shh/	C:/Users/WYL21/Desktop/freefile/soul/soul/soullight.vip/tests/shh/index.html	(from )
22:11:32	146/146	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Mar%202026%2014:11:16%20GMT	https://soullight.vip/robots.txt		(from )
22:12:09	22799/22799	---MCZ	200	added ('OK')	text/html	etag:W/%22697c31a9-590f%22	https://soullight.vip/	C:/Users/WYL21/Desktop/freefile/soul/soul/soullight.vip/index.html	(from )
22:12:10	4846/4846	---MCZ	200	added ('OK')	text/html	etag:W/%22696cda90-12ee%22	https://soullight.vip/tests/animal/	C:/Users/WYL21/Desktop/freefile/soul/soul/soullight.vip/tests/animal/index.html	(from )
22:12:10	53201/53201	---MCZ	200	added ('OK')	text/html	etag:W/%22696d9901-cfd1%22	https://soullight.vip/tests/sl90/	C:/Users/WYL21/Desktop/freefile/soul/soul/soullight.vip/tests/sl90/index.html	(from )
22:12:10	15818/15818	---MCZ	200	added ('OK')	text/html	etag:W/%22696d9b23-3dca%22	https://soullight.vip/tests/tianfu/	C:/Users/WYL21/Desktop/freefile/soul/soul/soullight.vip/tests/tianfu/index.html	(from )
22:12:11	7015/7015	---MCZ	200	added ('OK')	text/html	etag:W/%2269a6e825-1b67%22	https://soullight.vip/tg/index.html	C:/Users/WYL21/Desktop/freefile/soul/soul/soullight.vip/tg/index.html	(from https://soullight.vip/)
22:12:12	199900/199900	---MCZ	200	added ('OK')	text/html	etag:W/%22696da823-30cdc%22	https://soullight.vip/tests/year/	C:/Users/WYL21/Desktop/freefile/soul/soul/soullight.vip/tests/year/index.html	(from )
22:12:14	71704/71704	---MCZ	200	added ('OK')	text/html	etag:W/%22696da375-11818%22	https://soullight.vip/tests/xlnl/	C:/Users/WYL21/Desktop/freefile/soul/soul/soullight.vip/tests/xlnl/index.html	(from )
22:12:14	58587/58587	---MCZ	200	added ('OK')	text/html	etag:W/%22696db7a3-e4db%22	https://soullight.vip/tests/ysjt/	C:/Users/WYL21/Desktop/freefile/soul/soul/soullight.vip/tests/ysjt/index.html	(from )
22:12:14	51930/51930	---MCZ	200	added ('OK')	text/html	etag:W/%22696cef88-cada%22	https://soullight.vip/tests/heian/	C:/Users/WYL21/Desktop/freefile/soul/soul/soullight.vip/tests/heian/index.html	(from )
22:12:14	51887/51887	---MCZ	200	added ('OK')	text/html	etag:W/%22696cfaba-caaf%22	https://soullight.vip/tests/nxxg/	C:/Users/WYL21/Desktop/freefile/soul/soul/soullight.vip/tests/nxxg/index.html	(from )
22:12:14	75842/75842	---MCZ	200	added ('OK')	text/html	etag:W/%22696cf280-12842%22	https://soullight.vip/tests/nxfg/	C:/Users/WYL21/Desktop/freefile/soul/soul/soullight.vip/tests/nxfg/index.html	(from )
22:12:15	19412/19412	---MCZ	200	added ('OK')	text/css	etag:W/%22694140f2-4bd4%22	https://soullight.vip/static/waibuyangshi/tailwind.css	C:/Users/WYL21/Desktop/freefile/soul/soul/soullight.vip/static/waibuyangshi/tailwind.css	(from https://soullight.vip/tests/rskx/)
22:12:15	3180/3180	---MCZ	200	added ('OK')	text/css	etag:W/%22694ab317-c6c%22	https://soullight.vip/authorization/auth-modal.css	C:/Users/WYL21/Desktop/freefile/soul/soul/soullight.vip/authorization/auth-modal.css	(from https://soullight.vip/tests/rskx/)
22:12:15	59992/59992	---MCZ	200	added ('OK')	text/html	etag:W/%22696dcb0e-ea58%22	https://soullight.vip/tests/zaqx/	C:/Users/WYL21/Desktop/freefile/soul/soul/soullight.vip/tests/zaqx/index.html	(from )
